,0
1535,STWD
1536,PRTA
1537,UNVR
1538,TUP
1539,LXFT
1540,FSM
1541,XIN
1542,SCWX
1543,PTLA
1544,PAAS
1545,NUGT
1546,ADNT
1547,TRUP
1548,HAE
1549,PCY
1550,WTR
1551,EVEP
1552,HOPE
1553,MRTN
1554,DLX
1555,UUUU
1556,GEO
1557,AAV
1558,LMNX
1559,AAP
1560,AON
1561,TGTX
1562,SKM
1563,MAN
1564,SDY
1565,CRUS
1566,AAXN
1567,DPLO
1568,TXRH
1569,BEAT
1570,FRED
1571,AAXJ
1572,TNET
1573,ECR
1574,LZB
1575,CVRS
1576,FTSI
1577,EEFT
1578,BPL
1579,COL
1580,BXS
1581,CVGI
1582,TRI
1583,JQC
1584,GMS
1585,PBI
1586,XON
1587,JEC
1588,RJF
1589,WWD
1590,NRE
1591,SNY
1592,IWB
1593,TTC
1594,BAM
1595,SHW
1596,AMP
1597,FINL
1598,SNR
1599,WSO
1600,ATO
1601,SNH
1602,QID
1603,HOLI
1604,CBAY
1605,BGC
1606,STAG
1607,WAB
1608,FSCT
1609,AVEO
1610,PFGC
1611,MUSA
1612,RCM
1613,DK
1614,CM
1615,SWX
1616,SSRM
1617,ACWF
1618,MTW
1619,WUBA
1620,IRS
1621,AHL
1622,MIC
1623,PSQ
1624,CYS
1625,TSEM
1626,ILF
1627,DNLI
1628,CHRW
1629,SPPI
1630,TTD
1631,ASML
1632,IDXX
1633,ONCS
1634,SRPT
1635,SHLM
1636,LTM
1637,PNK
1638,SGEN
1639,CNK
1640,TCBI
1641,OCN
1642,MDB
1643,DXPE
1644,NWBI
1645,LLL
1646,ENS
1647,RP
1648,TFX
1649,EQC
1650,DEI
1651,UFS
1652,MTN
1653,SPR
1654,PSEC
1655,LEE
1656,QDEL
1657,WETF
1658,BBX
1659,NRZ
1660,HBM
1661,INVA
1662,BJRI
1663,EVRI
1664,LCI
1665,FLIR
1666,PII
1667,JCOM
1668,CTT
1669,SCO
1670,TLRD
1671,AHH
1672,ENRJ
1673,ZS
1674,MIDD
1675,SF
1676,RCII
1677,DCP
1678,IMPV
1679,VEDL
1680,SERV
1681,UN
1682,WBS
1683,CRON
1684,WST
1685,SCI
1686,BERY
1687,ENIA
1688,TEUM
1689,TPRE
1690,CCK
1691,MAG
1692,WNC
1693,CSGP
1694,PETX
1695,ETR
1696,ATHN
1697,VLUE
1698,TTMI
1699,FLS
1700,ARWR
1701,IAC
1702,VIRT
1703,UCTT
1704,WBT
1705,VUG
1706,ANGI
1707,BCOR
1708,CISN
1709,CRH
1710,GHL
1711,IPI
1712,HIW
1713,BLDR
1714,CNXM
1715,MOBL
1716,CPS
1717,CHEF
1718,APH
1719,REXR
1720,KURA
1721,GTHX
1722,TK
1723,MRNS
1724,GPRE
1725,TERP
1726,RS
1727,HIBB
1728,ALGN
1729,HEI
1730,CFR
1731,YPF
1732,LGIH
1733,CMG
1734,REG
1735,AVXL
1736,AXDX
1737,RPM
1738,CTRL
1739,BNS
1740,USAT
1741,BWXT
1742,WOW
1743,PRMW
1744,WOR
1745,NIHD
1746,NUVA
1747,HPT
1748,TIP
1749,ADVM
1750,SWIR
1751,BIOS
1752,DNKN
1753,MBB
1754,EFII
1755,FRAN
1756,HUBS
1757,FRPT
1758,BNCL
1759,ARAY
1760,QUOT
1761,COLD
1762,DERM
1763,NS
1764,YANG
1765,FAS
1766,FMX
1767,GLIBA
1768,HTLD
1769,VRNS
1770,IVE
1771,EV
1772,AYTU
1773,PKG
1774,CINF
1775,ANY
1776,NAV
1777,DENN
1778,CLX
1779,VGR
1780,HII
1781,AFSI
1782,GLRE
1783,PRGO
1784,OIL
1785,RRR
1786,SINA
1787,FNGN
1788,MPO
1789,PRAH
1790,MSA
